2026-07-12 18:27:29 | INFO | Couches spatiales détectées : ['communes_dile_de_france_au_01_janvier', 'iris', 'velib_velos_et_bornes_disponibilite_temps_reel']
2026-07-12 18:27:29 | INFO | Début audit couche : communes_dile_de_france_au_01_janvier
2026-07-12 18:27:29 | INFO | Audit terminé : communes_dile_de_france_au_01_janvier
2026-07-12 18:27:29 | INFO | Début audit couche : iris
2026-07-12 18:27:29 | INFO | Audit terminé : iris
2026-07-12 18:27:29 | INFO | Début audit couche : velib_velos_et_bornes_disponibilite_temps_reel
2026-07-12 18:27:29 | INFO | Audit terminé : velib_velos_et_bornes_disponibilite_temps_reel
2026-07-12 18:27:29 | INFO | Résumé des audits généré
2026-07-12 18:27:30 | INFO | Rapport Excel généré
2026-07-12 18:27:30 | INFO | Rapport HTML généré
2026-07-12 18:27:30 | INFO | GeoAudit terminé avec succès - 3 couches analysées
